Task,Similar_task,Centroids_distance,Amount_of_architectures,Ranking_architectures,Recommended_architecture_rank,Architecture[recommended],Architecture[best],Architecture[worst],Accuracy_avg[recommended],Accuracy_avg[best],Accuracy_avg[worst],Precision_Avg[recommended],Precision_Avg[best],Precision_Avg[worst],Recall_Avg[recommended],Recall_Avg[best],Recall_Avg[worst],F1_avg[recommended],F1_avg[best],F1_avg[worst]
bird-truck,deer-truck,0.03729253448545933,6,"MiniGoogLeNet1, MiniVGG3, MiniVGG1, AlexNet1, ResNet10, SmallSqueezeNet",3rd,MiniVGG1,MiniGoogLeNet1,SmallSqueezeNet,0.9717,0.9776,0.8952500000000001,0.9588735662729999,0.970967498812,0.8663224212390283,0.9707,0.9689,0.8701000000000001,0.97166672954,0.977374514568,0.8478311146150974
cat-deer,bird-cat,0.03552187420427799,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, ResNet10, MiniVGG1, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.88815,0.88815,0.8114000000000001,0.8329594828479999,0.8329594828479999,0.7664795954362691,0.9359999999999999,0.9359999999999999,0.7526,0.8935292098250001,0.8935292098250001,0.7891344766738057
cat-dog,deer-dog,0.05328982509672642,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.82165,0.82165,0.5887499999999999,0.7729007387160001,0.7729007387160001,0.5633977992295982,0.7882,0.7882,0.7853999999999999,0.8148261377439999,0.8148261377439999,0.6545992813937963
cat-frog,deer-frog,0.05485371872782707,6,"MiniGoogLeNet1, MiniVGG3, AlexNet1, SmallSqueezeNet, ResNet10, MiniVGG1",2nd,MiniVGG3,MiniGoogLeNet1,MiniVGG1,0.88595,0.90205,0.80045,0.829749627588,0.861803709875,0.720284399163,0.9529,0.9095,0.9774,0.894686647319,0.902997853765,0.8318101589650001
cat-horse,deer-horse,0.05393751710653305,6,"MiniVGG3, AlexNet1, MiniGoogLeNet1, MiniVGG1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.92065,0.92065,0.7727499999999999,0.893988596983,0.893988596983,0.7418579018781291,0.9026,0.9026,0.7529999999999999,0.919068704167,0.919068704167,0.7484919532693467
cat-ship,airplane-cat,0.051727818325161934,6,"MiniVGG3, AlexNet1, MiniVGG1, MiniGoogLeNet1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.9607,0.9607,0.93455,0.944048990121,0.944048990121,0.907327001124864,0.9578,0.9578,0.9369,0.960556713346,0.960556713346,0.9337856287111987
cat-truck,dog-truck,0.054932838305830956,6,"MiniGoogLeNet1, MiniVGG3, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",1st,MiniGoogLeNet1,MiniGoogLeNet1,SmallSqueezeNet,0.9675,0.9675,0.9434,0.954061294877,0.954061294877,0.9164716126908654,0.9642,0.9642,0.9496,0.9674142533210001,0.9674142533210001,0.9434683118283635
deer-dog,bird-dog,0.03472142945975065,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, ResNet10, SmallSqueezeNet, MiniVGG1",6th,MiniVGG1,MiniVGG3,MiniVGG1,0.79815,0.9146,0.79815,0.7916618192810001,0.894669887518,0.7916618192810001,0.61,0.8743,0.61,0.746750000721,0.9101393921940001,0.746750000721
deer-frog,bird-frog,0.036984097212553024,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",3rd,AlexNet1,MiniVGG3,SmallSqueezeNet,0.9161,0.9356,0.7282000000000001,0.87271148544,0.897821064172,0.6951012818896216,0.9491,0.9662,0.6849000000000001,0.919310063827,0.937795935793,0.6418942563864236
deer-horse,bird-horse,0.033573053777217865,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, SmallSqueezeNet, ResNet10, MiniVGG1",1st,MiniVGG3,MiniVGG3,MiniVGG1,0.9169,0.9169,0.8258,0.8961365313680001,0.8961365313680001,0.810742537878,0.882,0.882,0.6852,0.9131298698870001,0.9131298698870001,0.795887865615
deer-ship,bird-ship,0.03660155087709427,6,"MiniGoogLeNet1, MiniVGG3, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",2nd,MiniVGG3,MiniGoogLeNet1,SmallSqueezeNet,0.96855,0.9783,0.94805,0.956406023573,0.9660126617720001,0.9295031720894592,0.9632,0.9829,0.938,0.968339448494,0.978431821297,0.9458069925373216
deer-truck,bird-truck,0.03729253448545933,6,"MiniVGG1, MiniVGG3, AlexNet1, MiniGoogLeNet1, ResNet10, SmallSqueezeNet",4th,MiniGoogLeNet1,MiniVGG1,SmallSqueezeNet,0.9649,0.98215,0.9261,0.9558256875460001,0.979045190096,0.8966823590829438,0.9495,0.9706,0.9599,0.9624804438850001,0.9819309948520001,0.9323680716360709
dog-frog,cat-frog,0.05978940799832344,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, ResNet10, MiniVGG1, SmallSqueezeNet",2nd,MiniGoogLeNet1,MiniVGG3,SmallSqueezeNet,0.93555,0.94255,0.8090999999999999,0.9107821097299998,0.9079290992389999,0.7727068416987498,0.9312,0.9692,0.7443000000000001,0.935250996506,0.944200963196,0.7499228365608723
dog-horse,cat-horse,0.055371373891830444,6,"MiniVGG1, MiniVGG3, MiniGoogLeNet1, AlexNet1, ResNet10, SmallSqueezeNet",2nd,MiniVGG3,MiniVGG1,SmallSqueezeNet,0.9079,0.9101,0.7447,0.8757360065440001,0.8801142975239999,0.7130465087324974,0.8943,0.8919,0.6086,0.906102632801,0.9081711289450001,0.6537577265265091
dog-ship,airplane-dog,0.05196627229452133,6,"MiniVGG1, MiniGoogLeNet1, MiniVGG3, AlexNet1, ResNet10, SmallSqueezeNet",2nd,MiniGoogLeNet1,MiniVGG1,SmallSqueezeNet,0.9769,0.9790000000000001,0.8869,0.9633752984649999,0.967914446854,0.8586861070689599,0.9844,0.9813,0.9639,0.977287193468,0.9790497153929999,0.9072942107377592
dog-truck,cat-truck,0.054932838305830956,6,"MiniGoogLeNet1, MiniVGG1, MiniVGG3, ResNet10, AlexNet1, SmallSqueezeNet",1st,MiniGoogLeNet1,MiniGoogLeNet1,SmallSqueezeNet,0.9784,0.9784,0.91895,0.968089007869,0.968089007869,0.9013324460351751,0.9784,0.9784,0.8821,0.9783962446209999,0.9783962446209999,0.9117186103589242
frog-horse,cat-horse,0.07693522423505783,6,"MiniGoogLeNet1, MiniVGG3, ResNet10, MiniVGG1, AlexNet1, SmallSqueezeNet",2nd,MiniVGG3,MiniGoogLeNet1,SmallSqueezeNet,0.9544,0.97125,0.90895,0.94864192903,0.958213367317,0.8832402382807614,0.9207,0.9703,0.8956,0.952094694664,0.9712187372769999,0.9057277782843504
frog-ship,airplane-frog,0.05188288167119026,6,"MiniGoogLeNet1, MiniVGG3, MiniVGG1, SmallSqueezeNet, ResNet10, AlexNet1",1st,MiniGoogLeNet1,MiniGoogLeNet1,AlexNet1,0.9813,0.9813,0.97055,0.974670900046,0.974670900046,0.9637199364319999,0.9763,0.9763,0.9552,0.98113615043,0.98113615043,0.969896700446
frog-truck,automobile-frog,0.06846153922379017,6,"MiniVGG3, ResNet10, MiniGoogLeNet1, MiniVGG1, AlexNet1, SmallSqueezeNet",3rd,MiniGoogLeNet1,MiniVGG3,SmallSqueezeNet,0.9731,0.9801,0.93615,0.969426157247,0.9767068866899999,0.9212413610399992,0.9537,0.9671,0.914,0.9712679579250001,0.979791747394,0.9348663257038468
horse-ship,airplane-horse,0.0490068681538105,6,"MiniVGG3, AlexNet1, MiniVGG1, MiniGoogLeNet1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.97825,0.97825,0.92565,0.9706668584620001,0.9706668584620001,0.8962331714093654,0.9724,0.9724,0.9546,0.9781202556020001,0.9781202556020001,0.9307164706752548
horse-truck,automobile-horse,0.06500433944165707,6,"MiniVGG3, MiniVGG1, MiniGoogLeNet1, AlexNet1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.97565,0.97565,0.88885,0.963454623354,0.963454623354,0.8661292443252467,0.978,0.978,0.9128,0.975766794442,0.975766794442,0.8979960682331509
ship-truck,airplane-truck,0.05056528188288212,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.9609,0.9609,0.8570499999999999,0.94239476373,0.94239476373,0.8280322026444902,0.9624,0.9624,0.9097,0.9609179422030001,0.9609179422030001,0.8746226873325466
